name,brand,model,size,length_mm,width_mm,height_mm,weight_g,shape,hand,hump_placement,front_flare,side_curvature,sensor,sensor_type,sensor_position,max_dpi,polling_rate_hz,side_buttons,switches,material,connectivity
ATK A9 Ultimate,ATK,A9 Ultimate,Large,125.0,64.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3950 Ultra,Optical,Centered (52%),42000,8000.0,2,ATK Optical Switches,Plastic,Wireless
ATK A9 Ultra Max 2.0,ATK,A9 Ultra Max 2.0,Large,125.0,64.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3395 Ultra,Optical,Centered (52%),30000,8000.0,2,ATK Light Blade,Plastic,Wireless
IPI Qi Pro,IPI,Qi Pro,Medium,124.0,65.5,38.0,50.0,Symmetrical,Right,Back - minimal,Outward - moderate,Flat,PixArt PAW3950,Optical,Forward (55%),42000,8000.0,2,Omron D2FC-F-7N(100M),Forged carbon fiber,Wireless
Glorious Model D3,Glorious,Model D3,Medium,121.7,63.7,41.7,69.0,Ergonomic,Right,Back - minimal,Flat,Flat,Glorious BAMF 3.0,Optical,Centered (50%),30000,8000.0,2,Unspecified Optical Switches,Plastic,Wireless
Glorious Model D3 Wired,Glorious,Model D3 Wired,Medium,121.7,63.7,41.7,57.0,Ergonomic,Right,Back - minimal,Flat,Flat,Glorious BAMF 3.0,Optical,Centered (50%),30000,8000.0,2,Unspecified Optical Switches,Plastic,Wired
ARYE RCC-1,ARYE,RCC-1,Small,117.6,61.6,32.2,46.0,Symmetrical,Right,Back - moderate,Inward - moderate,Inward,PixArt PAW3950,Optical,Centered (52%),30000,8000.0,2,Omron Optical,Carbon fiber composite,Wireless
Glorious Model O3,Glorious,Model O3,Medium,124.0,61.4,39.8,66.0,Symmetrical,Right,Back - minimal,Flat,Flat,Glorious BAMF 3.0,Optical,Centered (50%),30000,8000.0,2,Unspecified Optical Switches,Plastic,Wireless
Glorious Model O3 Wired,Glorious,Model O3 Wired,Medium,124.0,61.4,39.8,54.0,Symmetrical,Right,Back - minimal,Flat,Flat,Glorious BAMF 3.0,Optical,Centered (50%),30000,8000.0,2,Unspecified Optical Switches,Plastic,Wired
Turtle Beach Burst II Pro,Turtle Beach,Burst II Pro,Medium,122.2,67.3,39.2,57.0,Symmetrical,Right,Back - minimal,Flat,Flat,Turtle Beach Owl-Eye 30K,Optical,Centered (53%),30000,8000.0,3,Turtle Beach TITAN Optical Switch,Plastic,Wireless
Finalmouse ULX Sakura Classic,Finalmouse,ULX Sakura Classic,Large,126.0,65.0,38.4,38.0,Symmetrical,Right,Center,Outward - moderate,Inward,PixArt PAW3395,Optical,Centered (50%),6400,8000.0,2,Huano Transparent Blue Shell Pink Dot,Carbon fiber composite,Wireless
Finalmouse ULX Sakura Medium,Finalmouse,ULX Sakura Medium,Medium,121.3,62.0,37.0,36.0,Symmetrical,Right,Center,Outward - moderate,Inward,PixArt PAW3395,Optical,Centered (50%),6400,8000.0,2,Huano Transparent Blue Shell Pink Dot,Carbon fiber composite,Wireless
Finalmouse ULX Sakura Small,Finalmouse,ULX Sakura Small,Small,115.6,60.0,35.2,33.0,Symmetrical,Right,Center,Outward - moderate,Inward,PixArt PAW3395,Optical,Centered (50%),6400,8000.0,2,Huano Transparent Blue Shell Pink Dot,Carbon fiber composite,Wireless
RAWM Leviathan V4,RAWM,Leviathan V4,Large,126.7,63.9,40.0,55.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,PixArt PAW3950,Optical,Centered (52%),45000,8000.0,2,TTC Optical V2,Plastic,Wireless
Cherry MW5500,Cherry,MW5500,Medium,119.0,61.0,38.0,62.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3950,Optical,Forward (60%),30000,8000.0,2,Huano Transparent Blue Shell Pink Dot,Plastic,Wireless
Corsair Sabre v2 Pro,Corsair,Sabre v2 Pro,Medium,119.3,62.6,38.2,36.0,Symmetrical,Right,Center,Outward - moderate,Flat,Corsair MARKSMAN S,Optical,Centered (48%),33000,8000.0,2,Huano Transparent Crystal Shell White Dot,Plastic,Wireless
Logitech G Pro X Superlight 2c,Logitech,G Pro X Superlight 2c,Medium,118.4,61.2,38.6,51.0,Symmetrical,Right,Center,Outward - slight,Flat,Logitech HERO 2,Optical,Centered (51%),44000,8000.0,2,Logitech LIGHTFORCE,Plastic,Wireless
Waizowl Cloud Ultra,Waizowl,Cloud Ultra,Large,126.0,68.0,38.0,59.0,Symmetrical,Right,Center,Flat,Inward,PixArt PAW3950,Optical,Forward (55%),30000,8000.0,2,RAESHA Optical,Plastic,Wireless
Logitech G304 X Lightspeed,Logitech,G304 X Lightspeed,Small,116.6,62.2,38.2,57.0,Symmetrical,Right,Back - moderate,Inward - moderate,Flat,Logitech HERO 25K,Optical,Centered (52%),25600,1000.0,2,Omron D2FC-F-7N(G1),Plastic,Wireless
Logitech G Pro X2 Superstrike,Logitech,G Pro X2 Superstrike,Large,125.0,63.5,40.0,61.0,Symmetrical,Ambidextrous,Center,Outward - slight,Flat,Logitech HERO 2,Optical,Centered (53%),44000,8000.0,2,Logitech SUPERSTRIKE,Plastic,Wireless
Redragon M818-STD,Redragon,M818-STD,Large,124.0,68.0,43.0,58.0,Ergonomic,Right,Center,Outward - moderate,Flat,PixArt PAW3311,Optical,Forward (55%),12000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wireless
Delux M400,Delux,M400,Large,126.7,63.3,40.0,75.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3311,Optical,Centered (52%),24000,1000.0,2,Huano Blue Shell White Dot,Plastic,Wireless
Redragon M725,Redragon,M725,Medium,120.8,64.3,37.9,49.0,Symmetrical,Right,Back - minimal,Flat,Flat,SG 8925,Optical,Centered (52%),10000,1000.0,2,Huano Blue Shell White Dot,Plastic,Wireless
Redragon M617 LIT,Redragon,M617 LIT,Medium,120.8,64.3,37.9,41.0,Symmetrical,Right,Back - minimal,Flat,Flat,SG 8925,Optical,Centered (52%),10000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wired
Akko Dash Ultra,Akko,Dash Ultra,Small,117.6,60.9,37.0,40.0,Symmetrical,Right,Back - minimal,Flat,Flat,PixArt PAW3950,Optical,Centered (50%),42000,8000.0,2,Kailh Optical V2,Plastic,Wireless
Akko Dash Max,Akko,Dash Max,Small,117.6,60.9,37.0,40.0,Symmetrical,Right,Back - minimal,Flat,Flat,PixArt PAW3395,Optical,Centered (50%),26000,8000.0,2,Kailh Optical V2,Plastic,Wireless
AJAZZ NJ08,AJAZZ,NJ08,Medium,122.5,65.0,40.9,70.0,Ergonomic,Right,Center,Outward - moderate,Flat,Instant A825,Optical,Centered (52%),12800,1000.0,2,Huano Transparent Blue Shell Yellow Dot,Plastic,Wireless
Dareu A950 GM,Dareu,A950 GM,Medium,122.9,64.1,38.8,60.0,Symmetrical,Right,Center,Outward - moderate,Flat,PixArt PAW3395,Optical,Centered (51%),26000,1000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
Corsair Ironclaw Wireless SE,Corsair,Ironclaw Wireless SE,Large,130.0,80.0,45.0,130.0,Ergonomic,Right,Center,Flat,Outward,Corsair MARKSMAN 26K,Optical,Forward (56%),26000,1000.0,3,Omron D2FC-F-7N(100M),Plastic,Wireless
AJAZZ AJ139P V3 MC,AJAZZ,AJ139P V3 MC,Large,127.8,64.1,39.5,69.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,PixArt PAW3311,Optical,Forward (55%),24000,1000.0,2,Unspecified Mechanical Switches,Plastic,Wireless
Chilkey Glacier LW 8K L,Chilkey,Glacier LW 8K L,Medium,120.0,63.0,39.0,47.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,PixArt PAW3950,Optical,Centered (52%),30000,8000.0,2,Chilkey Fog Blue Optical,Plastic,Wireless
